What is your gender?,,What is your age?,What's your highest educational qualification?,What's your occupation?,,How long have you been engaged in software development?,How often do you participate in or contribute to open source software communities?,Do you agree that the following factors motivate you to make contributions on Stack Overflow? Please choose an option for each factors.,,,,,,,,,,,,,I feel enthusiastically when tackling difficult problems.,"When facing a difficult problem, I try my best to solve it.",I feel very competent when I am solving others' problems.,"When participating in Stack Overflow, I get many chances to show my capability.",I feel like I can pretty much be myself when participating the community.,I feel like I can make a lot of inputs to deciding how I contribute to the community.,People in the community are pretty friendly towards me.,I really like the people in the community.,Do you agree that the following incentive mechanisms have a long-term incentive effect on user participation?,,,"Do you agree that the reputation and ranking mechanisms have a negative impact on the community atmosphere? e.g., people are competitive in earning reputation points.","Do you agree that the privilege mechanism can discourage and decrease user participation? e.g., the users without certain privileges cannot perform certain activities.","Do you agree that the incentive mechanisms have a negative impact on contribution quality? e.g., people try to post the first answer to a question as soon as possible, without paying enough attention to quality.","Do you agree that the incentive mechanisms have a negative impact on solving difficult questions? e.g., people try to answer easy questions to earn reputation and badges, and they do not want to devote their time to tackling difficult questions."
Male,,18-24,Bachelor degree,Student,,1~5 years,Usually,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Usually,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree
Male,,25-34,Bachelor degree,Self-employed,,6~10 years,Never,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,,Always,Always,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Never,Strongly agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,,Usually,Usually,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Rarely,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,,Usually,Usually,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Usually,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,,Always,Always,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree
Male,,25-34,High school or below,Self-employed,,6~10 years,Sometimes,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,,Always,Always,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
Male,,25-34,High school or below,Self-employed,,>10 years,Usually,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,,Always,Always,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
Male,,25-34,Bachelor degree,Full-time open source developer,,>10 years,Always,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,,Usually,Usually,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Usually,Strongly agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,,Usually,Always,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree
Male,,25-34,Bachelor degree,Company employee,,>10 years,Never,Strongly agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,,Always,Usually,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Sometimes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,Usually,Sometimes,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree
Male,,18-24,Bachelor degree,Full-time open source developer,,6~10 years,Usually,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,Always,Always,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
Male,,18-24,Master degree,Student,,6~10 years,Always,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,,Usually,Usually,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Agree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Never,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,,Usually,Always,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Usually,Agree,Strongly agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,,Always,Always,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree
Male,,18-24,High school or below,Self-employed,,6~10 years,Rarely,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,,Usually,Usually,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree
Male,,35-44,Master degree,Company employee,,6~10 years,Sometimes,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,,Always,Always,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree
Male,,25-34,Master degree,Company employee,,>10 years,Usually,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,,Usually,Always,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
Male,,25-34,Master degree,Company employee,,1~5 years,Sometimes,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,Always,Always,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree
Male,,35-44,Master degree,Company employee,,>10 years,Sometimes,Agree,Agree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Always,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Rarely,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,,Usually,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree
Male,,25-34,Polytechnic,Company employee,,6~10 years,Sometimes,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,,Usually,Usually,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Usually,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,,Always,Always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Always,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Usually,Always,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree
Male,,35-44,Master degree,Company employee,,>10 years,Sometimes,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Always,Always,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,45-54,Polytechnic,Company employee,,>10 years,Sometimes,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,,Usually,Always,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Rarely,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,,Always,Always,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree
Male,,45-54,Bachelor degree,Self-employed,,>10 years,Usually,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,,Usually,Usually,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree
Male,,25-34,Master degree,Self-employed,,>10 years,Sometimes,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,,Usually,Always,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Strongly agree
Male,,35-44,Polytechnic,Company employee,,>10 years,Rarely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,,Sometimes,Usually,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree
Male,,25-34,High school or below,Self-employed,,6~10 years,Sometimes,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Always,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Self-employed,,6~10 years,Always,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,,Always,Always,Disagree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Disagree
Male,,25-34,Doctorate or above,Researcher,,1~5 years,Sometimes,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,,Usually,Always,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Usually,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Always,Usually,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Master degree,Other (please specify),"PhD Student, Junior Researcher",6~10 years,Sometimes,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,,Usually,Always,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree
Male,,25-34,Bachelor degree,Company employee,,>10 years,Usually,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Usually,Always,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Sometimes,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,,Always,Always,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree
Male,,18-24,High school or below,Student,,6~10 years,Usually,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,,Usually,Usually,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree
Male,,35-44,Master degree,Company employee,,>10 years,Usually,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,,Always,Always,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Sometimes,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Always,Always,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
